"key","nl","en"
"Greeting","Hallo!","Hello!"
"textfield","Tekst veld","Text Field"
"joincode","Join code","Join Code"
"exit_scene","Exit","Exit"
"header_social","Verhaal en Sociaal","Story and Social"
